District_Code,RO_Code,Book,Deed_year,Deed_no,Item_no,Property_district_code,Property_ro_code,ps_code,moucode,Area_type,GP_Muni_Corp_Code,Ward,Holding,Premises,road_code,Plot_code_type,Road,Plot_No,Bata_No,Khatian_type,khatian_No,bata_khatian_no,property_type,Land_Area_acre,Land_Area_bigha,Land_Area_decimal,Land_Area_katha,Land_Area_chatak,Land_Area_sqfeet,Structure_area_in_sqFeet,Created_DTTM,ref_ps,ref_mouza,jl_no,other_plots,other_khatian,land_type,refjl_no,Created_by,Exception
"12","06","1","2005","00029","1","12","06","06","001",,,,,,,"RS",,"537","0","RS","59",,"LL","0","0","2","0","0","0","0","18-11-05 12.41.17",,"RADHA BALLABHPUR","001",,,"004",,"prem",
"12","06","1","2005","00030","1","12","06","06","007",,,,,,,"RS",,"325","0","RS","108",,"LL","0","0","12.75","0","0","0","0","18-11-05 12.41.17",,,"007",,,"004",,"prem",
"12","06","1","2005","00031","1","12","06","06","055",,,,,,,"RS",,"2149","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","10","12","06","06","055",,,,,,,"RS",,"5376","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","11","12","06","06","055",,,,,,,"RS",,"5376","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","12","12","06","06","055",,,,,,,"RS",,"5377","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","13","12","06","06","055",,,,,,,"RS",,"5378","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","14","12","06","06","055",,,,,,,"RS",,"4577","0","RS","5128",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","15","12","06","06","055",,,,,,,"RS",,"7405","0","RS","5128",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","16","12","06","06","055",,,,,,,"RS",,"5266","0","RS","5128",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","2","12","06","06","055",,,,,,,"RS",,"2148","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","3","12","06","06","055",,,,,,,"RS",,"765","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","4","12","06","06","055",,,,,,,"RS",,"1667","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","5","12","06","06","055",,,,,,,"RS",,"2150","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","6","12","06","06","055",,,,,,,"RS",,"862","0","RS","1563",,"LL","0","0","1.54","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","7","12","06","06","055",,,,,,,"RS",,"6814","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","8","12","06","06","055",,,,,,,"RS",,"6815","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00031","9","12","06","06","055",,,,,,,"RS",,"6817","0","RS","5650",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00032","1","12","06","06","031",,,,,,,"RS",,"1918","0","RS","25",,"LL","0","0","5.5","0","0","0","0","18-11-05 12.41.17",,,"031",,,"004",,"prem",
"12","06","1","2005","00032","2","12","06","06","031",,,,,,,"RS",,"1963","0","RS","25",,"LL","0","0","5.5","0","0","0","0","18-11-05 12.41.17",,,"031",,,"004",,"prem",
"12","06","1","2005","00033","1","12","06","06","050",,,,,,,"RS",,"1161","0","RS","701",,"LL","0","0","5","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","10","12","06","06","050",,,,,,,"RS",,"4148","0","RS","701",,"LL","0","0","4","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","11","12","06","06","050",,,,,,,"RS",,"3663","0","RS","702",,"LL","0","0","12.6666666666667","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","12","12","06","06","050",,,,,,,"RS",,"6447","0","RS","702",,"LL","0","0","4","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","2","12","06","06","050",,,,,,,"RS",,"8653","0","RS","701",,"LL","0","0","16.33","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","3","12","06","06","050",,,,,,,"RS",,"1052","0","RS","701",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","4","12","06","06","050",,,,,,,"RS",,"1273","0","RS","701",,"LL","0","0","2","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","5","12","06","06","050",,,,,,,"RS",,"1266","0","RS","701",,"LL","0","0","0.25","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","6","12","06","06","050",,,,,,,"RS",,"1274","0","RS","701",,"LL","0","0","0","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","7","12","06","06","050",,,,,,,"RS",,"3693","0","RS","701",,"LL","0","0","3","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","8","12","06","06","050",,,,,,,"RS",,"3856","0","RS","701",,"LL","0","0","4","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00033","9","12","06","06","050",,,,,,,"RS",,"4147","0","RS","701",,"LL","0","0","3","0","0","0","0","18-11-05 12.41.17",,,"050",,,"004",,"prem",
"12","06","1","2005","00034","1","12","06","06","001",,,,,,,"RS",,"3241","0","RS","491",,"LL","0","0","7.5","0","0","0","0","18-11-05 12.41.17",,"HAREK NAGAR","001",,,"004",,"prem",
"12","06","1","2005","00034","2","12","06","06","001",,,,,,,"RS",,"3303","4423","RS","491",,"LL","0","0","1","0","0","0","0","18-11-05 12.41.17",,"HAREK NAGAR","001",,,"004",,"prem",
"12","06","1","2005","00034","3","12","06","06","001",,,,,,,"RS",,"3301","4435","RS","491",,"LL","0","0","1.87","0","0","0","0","18-11-05 12.41.17",,"HAREK NAGAR","001",,,"004",,"prem",
"12","06","1","2005","00035","1","12","06","06","014",,,,,,,"RS",,"5964","0","RS","1151",,"LL","0","0","19","0","0","0","0","18-11-05 12.41.17",,,"014",,,"004",,"prem",
"12","06","1","2005","00035","2","12","06","06","014",,,,,,,"RS",,"5778","0","RS","1151",,"LL","0","0","19","0","0","0","0","18-11-05 12.41.17",,,"014",,,"004",,"prem",
"12","06","1","2005","00035","3","12","06","06","014",,,,,,,"RS",,"5859","0","RS","1151",,"LL","0","0","5","0","0","0","0","18-11-05 12.41.17",,,"014",,,"004",,"prem",
"12","06","1","2005","00035","4","12","06","06","014",,,,,,,"RS",,"5856","0","RS","1151",,"LL","0","0","13","0","0","0","0","18-11-05 12.41.17",,,"014",,,"004",,"prem",
"12","06","1","2005","00002","1","12","06","000","001",,,,,,,"CS",,"314","0","CS","365",,"AS","8","3","15","45","3","3","0","19-05-16 14.07.04",,,"001",,,,"3543","u1",
"12","06","1","2005","00002","2","12","06","06","001",,,,,,,"RS",,"242","0","RS","365",,"LL","1","1","0","0","3.2","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00002","3","12","06","06","001",,,,,,,"RS",,"204","0","RS","365",,"LL","0","0","24","0","0","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00002","4","12","06","06","001",,,,,,,"RS",,"75","0","RS","365",,"LL","0","0","17","0","0","0","0","19-05-16 14.07.04",,"ABHICHARAN","001",,,"004",,"u1",
"12","06","1","2005","00003","1","12","06","05","099",,,,,,,"RS",,"448","0","LR","1838",,"LL","0","0","3","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","10","12","06","05","099",,,,,,,"RS",,"1296","0","LR","1838",,"LL","0","0","5","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","11","12","06","05","099",,,,,,,"RS",,"1009","0","LR","1838",,"LL","0","0","24","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","12","12","06","05","099",,,,,,,"RS",,"1012","0","LR","1838",,"LL","0","0","10","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","13","12","06","05","099",,,,,,,"RS",,"3581","0","LR","1838",,"LL","0","0","1","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","14","12","06","05","099",,,,,,,"RS",,"7160","0","LR","1838",,"LL","0","0","19","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","15","12","06","05","099",,,,,,,"RS",,"3586","0","LR","1838",,"LL","0","0","5","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","16","12","06","05","099",,,,,,,"RS",,"3577","0","LR","1838",,"LL","0","0","11","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","17","12","06","05","099",,,,,,,"RS",,"2173","0","LR","1838",,"LL","0","0","3","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","2","12","06","05","099",,,,,,,"RS",,"7270","0","LR","1838",,"LL","0","0","2","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","3","12","06","05","099",,,,,,,"RS",,"7276","0","LR","1838",,"LL","0","0","2","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","4","12","06","05","099",,,,,,,"RS",,"7277","0","LR","1838",,"LL","0","0","2","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","5","12","06","05","099",,,,,,,"RS",,"7136","0","LR","1838",,"LL","0","0","13","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","6","12","06","05","099",,,,,,,"RS",,"7137","0","LR","1838",,"LL","0","0","7","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","7","12","06","05","099",,,,,,,"RS",,"1425","0","LR","1838",,"LL","0","0","9","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","8","12","06","05","099",,,,,,,"RS",,"1434","0","LR","1838",,"LL","0","0","8","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00003","9","12","06","05","099",,,,,,,"RS",,"1495","0","LR","1838",,"LL","0","0","14","0","0","0","0","18-11-05 11.32.37",,,"099",,,"004",,"prem",
"12","06","1","2005","00004","1","12","06","05","066",,,,,,,"RS",,"564","0","RS","940",,"LL","0","0","0.66","0","0","0","0","18-11-05 12.41.17",,"RAMNA DADPUR","066",,,"004",,"prem",
"12","06","1","2005","00004","2","12","06","05","066",,,,,,,"RS",,"565","0","RS","940",,"LL","0","0","1","0","0","0","0","18-11-05 12.41.17",,"RAMNA DADPUR","066",,,"004",,"prem",
"12","06","1","2005","00005","1","12","06","01","002",,,,,,,"LR",,"7330","0","CS","2252",,"AS","0","0","0.20","0","0","0","0","19-05-16 14.07.04",,,"002",,,,"214","u1",
"12","06","1","2005","00006","1","12","06","06","031",,,,,,,"RS",,"2749","0","RS","2106",,"LL","0","0","1.83","0","0","0","0","18-11-05 12.41.17",,,"031",,,"004",,"prem",
"12","06","1","2005","00007","1","12","06","000",,,,,,,,"RS",,"6956","0","RS","596",,"LL","0","0","01.25","0","0","0","0","18-11-05 12.41.17",,"MIRZAPUR",,,,"004","sa","prem",
"12","06","1","2005","00008","1","12","06","01","001",,,,,,,"RS",,"6956","0","RS","596",,"AS","0","0","01.25","0","0","0","0","19-05-15 12.31.04",,,"001",,,,"DGDGD","u1",
"12","06","1","2005","00010","1","12","06","05","078",,,,,,,"RS",,"1237","0","RS","878",,"LL","0","0","2","0","0","0","0","18-11-05 12.41.17",,,"078",,,"004",,"prem",
"12","06","1","2005","00011","1","12","06","06","051",,,,,,,"RS",,"2424","0","LR","2171",,"LL","0","0","7","0","0","0","0","18-11-05 12.41.17",,,"051",,,"004",,"prem",
"12","06","1","2005","00011","2","12","06","06","051",,,,,,,"RS",,"2423","0","LR","317",,"LL","0","0","6","0","0","0","0","18-11-05 12.41.17",,,"051",,,"004",,"prem",
"12","06","1","2005","00012","1","12","06","06","051",,,,,,,"RS",,"658","2552","LR","2171",,"LL","0","0","7","0","0","0","0","18-11-20 18.09.16",,,"051",,,,,"prem",
"12","06","1","2005","00012","2","12","06","06","051",,,,,,,"RS",,"659","0","LR","317",,"LL","0","0","6","0","0","0","0","18-11-20 18.09.16",,,"051",,,,,"prem",
"12","06","1","2005","00013","1","12","06","06","059",,,,,,,"RS",,"952","0","RS","635",,"LL","0","0","0","2","8","0","0","18-11-05 12.41.17",,,"059",,,"004",,"prem",
"12","06","1","2005","00014","1","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","02.80","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","10","12","06","06","060",,,,,,,"RS",,"1894","0","RS","39",,"LL","0","0","0.84","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","11","12","06","06","060",,,,,,,"RS",,"1894","0","RS","39",,"LL","0","0","0.94","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","12","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","2.80","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","13","12","06","06","060",,,,,,,"RS",,"1894","0","RS","39",,"LL","0","0","063","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","2","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","1.50","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","3","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","2.80","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","4","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","1.50","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","5","12","06","06","060",,,,,,,"RS",,"1893","0","RS","39",,"LL","0","0","01.02","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","6","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","2.80","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","7","12","06","06","060",,,,,,,"RS",,"1892","0","RS","39",,"LL","0","0","1.50","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","8","12","06","06","060",,,,,,,"RS",,"1893","0","RS","39",,"LL","0","0","0.58","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00014","9","12","06","06","060",,,,,,,"RS",,"1894","0","RS","39",,"LL","0","0","0.23","0","0","0","0","18-11-05 12.41.17",,,"60",,,"004",,"prem",
"12","06","1","2005","00015","1","12","06","06","120",,,,,,,"RS",,"213","0","RS","4127",,"LL","0","0","10.41","0","0","0","0","18-11-05 12.41.17",,,"120",,,"004",,"prem",
"12","06","1","2005","00015","2","12","06","06","120",,,,,,,"RS",,"220","0","RS","4127",,"LL","0","0","17","0","0","0","0","18-11-05 12.41.17",,,"120",,,"004",,"prem",
"12","06","1","2005","00016","1","12","06","06","007",,,,,,,"RS",,"138","0","RS","579",,"LL","0","0","25","0","0","0","0","18-11-05 12.41.17",,,"007",,,"004",,"prem",
"12","06","1","2005","00016","2","12","06","06","007",,,,,,,"RS",,"2030","0","RS","1605",,"LL","0","0","14","0","0","0","0","18-11-05 12.41.17",,,"007",,,"004",,"prem",
"12","06","1","2005","00017","1","12","06","06","001",,,,,,,"RS",,"1335","0","RS","631",,"LL","0","0","6.66","0","0","0","0","18-11-05 12.41.17",,"MAHULA","001",,,"004",,"prem",
"12","06","1","2005","00017","2","12","06","06","001",,,,,,,"RS",,"1335","0","RS","631",,"LL","0","0","7","0","0","0","0","18-11-05 12.41.17",,"MAHULA","001",,,"004",,"prem",
"12","06","1","2005","00018","1","12","06","06","012",,,,,,,"RS",,"2884","0","RS","1502",,"LL","0","0","11","0","0","0","0","18-11-05 12.41.17",,,"012",,,"004",,"prem",
"12","06","1","2005","00018","2","12","06","06","012",,,,,,,"RS",,"2884","0","RS","1502",,"LL","0","0","5.5","0","0","0","0","18-11-05 12.41.17",,,"012",,,"004",,"prem",
"12","06","1","2005","00019","1","12","06","06","012",,,,,,,"RS",,"2484","0","RS","1502",,"LL","0","0","1.5","0","0","0","0","18-11-05 12.41.17",,,"012",,,"004",,"prem",
"12","06","1","2005","00020","1","12","06","01","001",,,,,,,"RS",,"661","0","RS","1234",,"LL","0","0","1.58","0","0","0","0","18-11-05 12.41.17",,"KULBERIA","001",,,"004",,"prem",
"12","06","1","2005","00020","2","12","06","01","001",,,,,,,"RS",,"660","0","RS","1234",,"LL","0","0","2.33","0","0","0","0","18-11-05 12.41.17",,"KULBERIA","001",,,"004",,"prem",
"12","06","1","2005","00020","3","12","06","01","001",,,,,,,"RS",,"659","0","RS","1234",,"LL","0","0","3.75","0","0","0","0","18-11-05 12.41.17",,"KULBERIA","001",,,"004",,"prem",
"12","06","1","2005","00021","1","12","06","05","066",,,,,,,"RS",,"3169","0","RS","574",,"LL","0","0","0","1","0","0","0","18-11-05 12.41.17",,,"066",,,"004",,"prem",
"12","06","1","2005","00022","1","12","06","06","009",,,,,,,"RS",,"153","0","RS","240",,"LL","0","0","11","0","0","0","0","18-11-05 12.41.17",,,"009",,,"004",,"prem",
"12","06","1","2005","00023","1","12","06","06","007",,,,,,,"RS",,"554","0","RS","1002",,"LL","0","0","5.83","0","0","0","0","18-11-05 12.41.17",,,"007",,,"004",,"prem",
"12","06","1","2005","00024","1","12","06","05","135",,,,,,,"RS",,"1283","0","RS","1288",,"LL","0","0","1.33",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","2","12","06","05","135",,,,,,,"RS",,"1284","0","RS","1288",,"LL","0","0","5",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","3","12","06","05","135",,,,,,,"RS",,"1292","0","RS","1288",,"LL","0","0","1",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","4","12","06","05","135",,,,,,,"RS",,"1293","0","RS","1288",,"LL","0","0","1",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","5","12","06","05","135",,,,,,,"RS",,"1294","0","RS","1288",,"LL","0","0","2",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","6","12","06","05","135",,,,,,,"RS",,"1295","0","RS","1288",,"LL","0","0","2.66",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","7","12","06","05","135",,,,,,,"RS",,"1298","0","RS","1288",,"LL","0","0","0.66",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","8","12","06","05","135",,,,,,,"RS",,"1299","0","RS","1288",,"LL","0","0","4",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00024","9","12","06","05","135",,,,,,,"RS",,"1280","0","RS","1288",,"LL","0","0","0.91",,"0","0","0","18-11-05 12.41.17",,,"135",,,"004",,"prem",
"12","06","1","2005","00026","1","12","06","06","007",,,,,,,"RS",,"5330","0","RS","1968",,"LL","0","0","4","0","0","0","0","18-11-05 12.41.17",,,"007",,,"004",,"prem",
"12","06","1","2005","00027","1","12","06","06","055",,,,,,,"RS",,"2130","0","RS","569",,"LL","0","0","2.5","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
"12","06","1","2005","00027","2","12","06","06","055",,,,,,,"RS",,"2131","0","RS","569",,"LL","0","0","2.5","0","0","0","0","18-11-05 12.41.17",,,"055",,,"004",,"prem",
